path,relative_path,filename,extension,size_bytes,modified_time,sha256
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1486.RAF,Photos/Archives/2025/07-29-2025/DSCF1486.RAF,DSCF1486.RAF,.raf,19442688,2025-07-27T16:28:06,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1486.JPG,Photos/Archives/2025/07-29-2025/DSCF1486.JPG,DSCF1486.JPG,.jpg,4003320,2025-07-29T19:01:27.394093,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1485.RAF,Photos/Archives/2025/07-29-2025/DSCF1485.RAF,DSCF1485.RAF,.raf,19370496,2025-07-27T16:22:12,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1485.JPG,Photos/Archives/2025/07-29-2025/DSCF1485.JPG,DSCF1485.JPG,.jpg,4447138,2025-07-27T16:22:12,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1484.RAF,Photos/Archives/2025/07-29-2025/DSCF1484.RAF,DSCF1484.RAF,.raf,19364864,2025-07-27T16:21:56,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1484.JPG,Photos/Archives/2025/07-29-2025/DSCF1484.JPG,DSCF1484.JPG,.jpg,4586570,2025-07-29T19:04:02.442642,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1483.RAF,Photos/Archives/2025/07-29-2025/DSCF1483.RAF,DSCF1483.RAF,.raf,19433984,2025-07-26T15:25:10,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1483.JPG,Photos/Archives/2025/07-29-2025/DSCF1483.JPG,DSCF1483.JPG,.jpg,4978588,2025-07-26T15:25:10,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1482.RAF,Photos/Archives/2025/07-29-2025/DSCF1482.RAF,DSCF1482.RAF,.raf,19417088,2025-07-26T15:22:48,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1481.RAF,Photos/Archives/2025/07-29-2025/DSCF1481.RAF,DSCF1481.RAF,.raf,19356672,2025-07-26T15:22:34,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1481.JPG,Photos/Archives/2025/07-29-2025/DSCF1481.JPG,DSCF1481.JPG,.jpg,4695891,2025-07-29T19:06:46.100838,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1480.RAF,Photos/Archives/2025/07-29-2025/DSCF1480.RAF,DSCF1480.RAF,.raf,19394048,2025-07-26T15:20:54,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1480.JPG,Photos/Archives/2025/07-29-2025/DSCF1480.JPG,DSCF1480.JPG,.jpg,4374286,2025-07-26T15:20:54,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1479.JPG,Photos/Archives/2025/07-29-2025/DSCF1479.JPG,DSCF1479.JPG,.jpg,4254235,2025-07-26T15:20:46,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1479.RAF,Photos/Archives/2025/07-29-2025/DSCF1479.RAF,DSCF1479.RAF,.raf,19405824,2025-07-26T15:20:44,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1478.RAF,Photos/Archives/2025/07-29-2025/DSCF1478.RAF,DSCF1478.RAF,.raf,19396096,2025-07-26T15:19:54,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1478.JPG,Photos/Archives/2025/07-29-2025/DSCF1478.JPG,DSCF1478.JPG,.jpg,4643928,2025-07-26T15:19:54,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1477.RAF,Photos/Archives/2025/07-29-2025/DSCF1477.RAF,DSCF1477.RAF,.raf,19384832,2025-07-26T15:19:20,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1477.JPG,Photos/Archives/2025/07-29-2025/DSCF1477.JPG,DSCF1477.JPG,.jpg,4883960,2025-07-26T15:19:20,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1476.JPG,Photos/Archives/2025/07-29-2025/DSCF1476.JPG,DSCF1476.JPG,.jpg,4619948,2025-07-29T19:33:54.904059,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1476.RAF,Photos/Archives/2025/07-29-2025/DSCF1476.RAF,DSCF1476.RAF,.raf,19384320,2025-07-26T15:18:30,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1475.RAF,Photos/Archives/2025/07-29-2025/DSCF1475.RAF,DSCF1475.RAF,.raf,19364352,2025-07-26T15:17:24,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1475.JPG,Photos/Archives/2025/07-29-2025/DSCF1475.JPG,DSCF1475.JPG,.jpg,4058252,2025-07-26T15:17:24,
